,order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,avg_shoe_price,business_type
158,159,92,795,90,1,credit_card,2017-03-29 03:07:12.224,90.0,general
2092,2093,92,986,90,1,debit,2017-03-04 06:44:05.194,90.0,general
4183,4184,92,844,90,1,debit,2017-03-26 04:22:38.867,90.0,general
3871,3872,92,818,90,1,debit,2017-03-18 09:10:07.550,90.0,general
4932,4933,92,823,90,1,credit_card,2017-03-24 02:17:12.909,90.0,general
590,591,92,967,90,1,debit,2017-03-28 22:56:22.880,90.0,general
1843,1844,92,987,90,1,debit,2017-03-06 07:01:09.439,90.0,general
2503,2504,92,935,90,1,credit_card,2017-03-28 02:30:25.553,90.0,general
4414,4415,92,927,90,1,credit_card,2017-03-17 09:57:01.115,90.0,general
4760,4761,92,937,90,1,debit,2017-03-20 07:37:27.858,90.0,general
322,323,92,783,90,1,debit,2017-03-08 03:49:15.321,90.0,general
3200,3201,92,858,90,1,cash,2017-03-25 15:14:49.874,90.0,general
3187,3188,92,854,90,1,credit_card,2017-03-08 18:16:24.603,90.0,general
3363,3364,92,730,90,1,credit_card,2017-03-11 23:20:31.493,90.0,general
228,229,92,757,90,1,debit,2017-03-13 23:57:51.040,90.0,general
1,2,92,925,90,1,cash,2017-03-03 17:38:51.999,90.0,general
4219,4220,92,747,90,1,credit_card,2017-03-25 20:16:57.851,90.0,general
4923,4924,92,965,90,1,credit_card,2017-03-09 05:05:10.932,90.0,general
2746,2747,2,897,94,1,debit,2017-03-06 07:10:16.302,94.0,general
1719,1720,2,871,94,1,cash,2017-03-06 12:19:08.975,94.0,general
1889,1890,2,789,94,1,cash,2017-03-24 17:40:04.705,94.0,general
927,928,2,878,94,1,credit_card,2017-03-10 18:09:05.042,94.0,general
4454,4455,2,943,94,1,credit_card,2017-03-17 21:58:11.999,94.0,general
4302,4303,2,996,94,1,credit_card,2017-03-19 11:03:12.377,94.0,general
1868,1869,2,821,94,1,cash,2017-03-23 19:36:32.548,94.0,general
4198,4199,2,990,94,1,cash,2017-03-20 05:05:54.891,94.0,general
1589,1590,2,758,94,1,credit_card,2017-03-22 01:52:46.896,94.0,general
1276,1277,2,818,94,1,credit_card,2017-03-09 03:36:22.383,94.0,general
3569,3570,2,862,94,1,credit_card,2017-03-21 11:35:43.150,94.0,general
1228,1229,2,921,94,1,cash,2017-03-10 23:37:03.188,94.0,general
1873,1874,2,941,94,1,credit_card,2017-03-14 05:20:26.552,94.0,general
1454,1455,2,978,94,1,credit_card,2017-03-07 23:04:54.848,94.0,general
655,656,2,831,94,1,credit_card,2017-03-06 07:08:16.364,94.0,general
2250,2251,2,875,94,1,cash,2017-03-11 15:10:59.351,94.0,general
2508,2509,2,902,94,1,cash,2017-03-01 14:48:47.322,94.0,general
2820,2821,2,733,94,1,debit,2017-03-03 22:43:51.620,94.0,general
3297,3298,2,794,94,1,debit,2017-03-03 03:19:29.184,94.0,general
4394,4395,2,898,94,1,cash,2017-03-17 13:48:13.622,94.0,general
939,940,2,918,94,1,credit_card,2017-03-25 06:10:06.304,94.0,general
2812,2813,2,704,94,1,credit_card,2017-03-05 19:54:45.615,94.0,general
866,867,2,894,94,1,credit_card,2017-03-21 12:51:49.851,94.0,general
783,784,2,860,94,1,debit,2017-03-21 13:41:35.463,94.0,general
678,679,2,888,94,1,debit,2017-03-16 08:49:46.811,94.0,general
4117,4118,32,841,101,1,cash,2017-03-16 18:53:13.218,101.0,general
3015,3016,32,746,101,1,debit,2017-03-29 18:22:44.758,101.0,general
1288,1289,32,901,101,1,cash,2017-03-27 17:51:07.472,101.0,general
3180,3181,32,809,101,1,cash,2017-03-10 14:01:51.923,101.0,general
1392,1393,32,867,101,1,cash,2017-03-29 21:58:44.575,101.0,general
1274,1275,32,861,101,1,credit_card,2017-03-26 04:34:50.680,101.0,general
1643,1644,32,875,101,1,credit_card,2017-03-17 11:03:39.986,101.0,general
4607,4608,32,968,101,1,cash,2017-03-28 19:40:39.819,101.0,general
2988,2989,32,832,101,1,cash,2017-03-21 17:36:13.680,101.0,general
1667,1668,32,885,101,1,credit_card,2017-03-28 21:40:45.670,101.0,general
1136,1137,32,726,101,1,cash,2017-03-15 11:45:55.417,101.0,general
4066,4067,32,983,101,1,credit_card,2017-03-25 01:22:00.322,101.0,general
2383,2384,32,885,101,1,debit,2017-03-02 04:10:02.740,101.0,general
1220,1221,32,778,101,1,credit_card,2017-03-10 06:00:03.110,101.0,general
